user_input,retrieved_contexts,response,reference,nv_accuracy,faithfulness,nv_context_relevance
¿Que ha supuesto el compromiso de Atresmedia con la seguridad vial extendida a sus empleados?,"['Su reutilización no es posible pero sí su reciclaje, por lo que el 97% son reciclados por empresas especializadas.', 'Esta decisión se adoptó en línea con las recomendaciones de gobierno corporativo en materia de rotación del auditor externo, a propuesta de la comisión de auditoría y como resultado de un concurso de selección desarrollado con plena transparencia.', 'La baja contable de los activos de un plan puede producirse cuando estos activos son mayores que la obligación proyectada y el Grupo no puede recuperar ningún superávit a través de reembolsos del instrumento en que está materializado el compromiso de prestación definida como consecuencia de requisitos de solvencia y/o control.', 'Debt Valuation Adjustment (DVA): ajuste a la valoración similar al CVA, pero en este caso como consecuencia del riesgo propio del Grupo que asumen sus contrapartidas en los derivados OTC.', 'También podrá proponerse la separación de consejeros independientes como consecuencia de ofertas públicas de adquisición, fusiones u otras operaciones corporativas similares que supongan un cambio en la estructura de capital de la sociedad, cuando tales cambios en la estructura del consejo de administración vengan propiciados por el criterio de proporcionalidad señalado en la recomendación 16.', 'Llevará a cabo actividades que aporten valor y ayuden a reforzar la relación personal con determinados clientes, por lo que será una oficina evolucionada que permitirá al Banco testar un nuevo modelo de atención y servicio.', 'Ofrece a los usuarios una imagen tridimensional del objeto que se inspecciona, con lo que se ofrece una visión clara acerca del alcance y naturaleza de los posibles defectos.', 'Todos los riesgos están transferidos a la compañía de seguros, ya que esta incluso asegura la garantía indicada anteriormente.', 'Además, se ha procedido a revisar el estado actual de las instalaciones obteniendo como resultado unas propuestas de mejora de ahorro y eficiencia energética.', 'En algunas ocasiones, la solución a las reclamaciones puede ser local pero, en otras, deben intervenir las direcciones centrales. Por eso, el defensor del cliente coordina fábricas, ingeniería, dirección de obras, etc... para ofrecer una respuesta integral.']",se ha procedido a revisar el estado actual de las instalaciones obteniendo como resultado unas propuestas de mejora de ahorro y eficiencia energética,"en 2017 se ha celebrado la segunda Semana de la Educación Vial, con el objetivo de formar y sensibilizar a la plantilla en esta materia",0.0,0.6666666666666666,0.0
¿Por qué se buscan procesos más eficientes para lograr un entorno más sostenible?,"['Somos conscientes del impacto de nuestra actividad en la sociedad y, por ello, buscamos procesos más eficientes e innovadores, apoyándonos en las nuevas tecnologías, que nos permitan contribuir de forma positiva a lograr un entorno más sostenible.', 'En 2015, a pesar de avanzar en la certificación de nuevos sistemas de gestión ambiental conforme a ISO 14001 y a los requisitos internos, se ha registrado una disminución del porcentaje de ebitda certificado, como consecuencia de la incorporación de nuevas actividades en Chile donde se está trabajando en adaptarlas a los referenciales internacionales y a los requerimientos internos en materia de gestión ambiental. En materia de cambio climático este año se ha mantenido el avance de los diferentes proyectos encaminados a la determinación de nuestra huella de carbono e identificación de los riesgos y oportunidades derivados del cambio climático.', 'Simultáneamente, hemos comenzado a trabajar en la cuarta edición, que supondrá una importante ampliación del alcance del programa, ya que también abarcará cuestiones adicionales de sostenibilidad ambiental.', 'El Grupo ACS considera prioritaria la eficiencia del consumo de recursos y la reducción de la generación de residuos, ya que una estrategia efectiva en estos aspectos implica beneficios en una doble vertiente. Por un lado, se reduce el impacto ambiental sobre el entorno y, por otro, se reduce el gasto necesario para la compra o tratamiento de los mismos.', 'Gracias a la introducción de tecnologías innovadoras y el desarrollo de nuevas soluciones y procesos de negocio, buscamos convertirnos en un Grupo más efectivo, eficiente y orientado al cliente.', 'Llevamos años siendo cada vez más y más eficientes, por eso también cada vez es más difícil mejorar.', 'Además, se ha procedido a revisar el estado actual de las instalaciones obteniendo como resultado unas propuestas de mejora de ahorro y eficiencia energética.', 'En virtud del compromiso asumido de desempeñar su actividad de manera sostenible con el medio ambiente, reflejado en su Política Medioambiental, Mediaset España ha ido adoptando a lo largo del tiempo, medidas para hacer un uso eficiente de los recursos naturales, gestionar de forma responsable los residuos generados, así como minimizar los impactos sobre el entorno natural en los lugares donde desarrolla sus actividades.', 'A pesar de los esfuerzos, este año el consumo energético fue superior al de 2015 debido a una mayor producción.', 'El factor climático tiene cada vez mayor importancia, por lo que impulsar y fomentar acciones para proteger el medioambiente y luchar contra su degradación adquieren una importancia capital.']",Somos conscientes del impacto de nuestra actividad en la sociedad,Somos conscientes del impacto de nuestra actividad en la sociedad,1.0,1.0,1.0
¿Cuál es la consecuencia de la adquisición?,"['Su reutilización no es posible pero sí su reciclaje, por lo que el 97% son reciclados por empresas especializadas.', 'Esta decisión se adoptó en línea con las recomendaciones de gobierno corporativo en materia de rotación del auditor externo, a propuesta de la comisión de auditoría y como resultado de un concurso de selección desarrollado con plena transparencia.', 'La baja contable de los activos de un plan puede producirse cuando estos activos son mayores que la obligación proyectada y el Grupo no puede recuperar ningún superávit a través de reembolsos del instrumento en que está materializado el compromiso de prestación definida como consecuencia de requisitos de solvencia y/o control.', 'Debt Valuation Adjustment (DVA): ajuste a la valoración similar al CVA, pero en este caso como consecuencia del riesgo propio del Grupo que asumen sus contrapartidas en los derivados OTC.', 'También podrá proponerse la separación de consejeros independientes como consecuencia de ofertas públicas de adquisición, fusiones u otras operaciones corporativas similares que supongan un cambio en la estructura de capital de la sociedad, cuando tales cambios en la estructura del consejo de administración vengan propiciados por el criterio de proporcionalidad señalado en la recomendación 16.', 'Llevará a cabo actividades que aporten valor y ayuden a reforzar la relación personal con determinados clientes, por lo que será una oficina evolucionada que permitirá al Banco testar un nuevo modelo de atención y servicio.', 'Ofrece a los usuarios una imagen tridimensional del objeto que se inspecciona, con lo que se ofrece una visión clara acerca del alcance y naturaleza de los posibles defectos.', 'Todos los riesgos están transferidos a la compañía de seguros, ya que esta incluso asegura la garantía indicada anteriormente.', 'Además, se ha procedido a revisar el estado actual de las instalaciones obteniendo como resultado unas propuestas de mejora de ahorro y eficiencia energética.', 'En algunas ocasiones, la solución a las reclamaciones puede ser local pero, en otras, deben intervenir las direcciones centrales. Por eso, el defensor del cliente coordina fábricas, ingeniería, dirección de obras, etc... para ofrecer una respuesta integral.']","se ofrecerá una visión clara acerca del alcance y naturaleza de los posibles defectos, por lo que se ofrecerá una visión clara acerca del alcance y naturaleza de los posibles defectos, por lo que se ofrecerá una visión clara acerca del alcance y naturaleza de los posibles defectos, por lo que se ofrecerá una visión clara acerca del alcance y naturaleza de los posibles defectos, por lo que se ofrecerá una visión clara acerca del alcance y naturaleza de los posibles defectos, por lo que se ofrecerá una visión clara acerca del alcance y naturaleza de los posibles defectos, por lo que se ofrecerá una visión clara acerca del alcance y naturaleza de los posibles defectos, por lo que se ofrecerá una visión clara acerca del alcance y naturaleza de los posibles defectos, por lo que se ofrecerá una visión clara acerca del alcance y naturaleza de los posibles defectos, por lo que se ofrecerá una visión clara acerca del alcance y naturaleza de los posibles defectos, por lo que se ofrecerá una visión clara acerca del alcance y naturaleza de los posibles defectos, por lo que se ofrecerá una visión clara acerca del alcance y naturaleza de los posibles defectos, por lo que se ofrecerá una visión clara acerca del alcance y naturaleza de los posibles defectos, por lo que se ofrecerá una visión clara acerca del alcance y naturaleza de los posibles defectos, por lo que se ofrecerá una visión clara acerca del alcance y naturaleza de los posibles defectos, por lo que se ofrecerá una visión clara acerca del alcance y naturaleza de los posibles defectos, por lo que se ofrecerá una visión clara acerca del alcance y naturaleza de los posibles defectos, por lo que se ofrecerá una visión clara acerca del alcance y naturaleza de los posibles defectos, por lo que se ofrecerá una visión clara acerca del alcance y naturaleza de los posibles defectos, por lo","Vidrala incrementará su notoriedad en el mercado de envases de vidrio europeo, aportando tamaño, diversificación y futuro a una base de negocio de solidez demostrada",0.0,0.5,0.0
¿Qué efecto produce la existencia de transacciones relevantes en moneda extranjera?,"['Su reutilización no es posible pero sí su reciclaje, por lo que el 97% son reciclados por empresas especializadas.', 'Esta decisión se adoptó en línea con las recomendaciones de gobierno corporativo en materia de rotación del auditor externo, a propuesta de la comisión de auditoría y como resultado de un concurso de selección desarrollado con plena transparencia.', 'La baja contable de los activos de un plan puede producirse cuando estos activos son mayores que la obligación proyectada y el Grupo no puede recuperar ningún superávit a través de reembolsos del instrumento en que está materializado el compromiso de prestación definida como consecuencia de requisitos de solvencia y/o control.', 'Debt Valuation Adjustment (DVA): ajuste a la valoración similar al CVA, pero en este caso como consecuencia del riesgo propio del Grupo que asumen sus contrapartidas en los derivados OTC.', 'También podrá proponerse la separación de consejeros independientes como consecuencia de ofertas públicas de adquisición, fusiones u otras operaciones corporativas similares que supongan un cambio en la estructura de capital de la sociedad, cuando tales cambios en la estructura del consejo de administración vengan propiciados por el criterio de proporcionalidad señalado en la recomendación 16.', 'Llevará a cabo actividades que aporten valor y ayuden a reforzar la relación personal con determinados clientes, por lo que será una oficina evolucionada que permitirá al Banco testar un nuevo modelo de atención y servicio.', 'Ofrece a los usuarios una imagen tridimensional del objeto que se inspecciona, con lo que se ofrece una visión clara acerca del alcance y naturaleza de los posibles defectos.', 'Todos los riesgos están transferidos a la compañía de seguros, ya que esta incluso asegura la garantía indicada anteriormente.', 'Además, se ha procedido a revisar el estado actual de las instalaciones obteniendo como resultado unas propuestas de mejora de ahorro y eficiencia energética.', 'En algunas ocasiones, la solución a las reclamaciones puede ser local pero, en otras, deben intervenir las direcciones centrales. Por eso, el defensor del cliente coordina fábricas, ingeniería, dirección de obras, etc... para ofrecer una respuesta integral.']",el 97% son reciclados por empresas especializadas,el Grupo aplica la contabilidad de coberturas al objeto de mitigar la volatilidad que se produciría en la cuenta de pérdidas y ganancias consolidada ,0.0,0.6666666666666666,0.0
"¿Por qué lo más destacable entre las bolsas europeas fue el positivo comportamiento de la bolsa británica?, ya que el índice Footsie 100 mostró una subida sustancial en la segunda mitad del año, una vez conocido el resultado del referéndum donde se acordó su salida de la Unión Europea","['Sin embargo, lo más destacable entre las bolsas europeas fue el positivo comportamiento de la bolsa británica, ya que el índice Footsie 100 mostró una subida sustancial en la segunda mitad del año, una vez conocido el resultado del referéndum donde se acordó su salida de la Unión Europea.', 'En los tres últimos años, la Compañía ha logrado unos sólidos resultados financieros que han hecho que el BPA ajustado de 2016 alcance los 90,2 céntimos de euro. En consecuencia, los derechos asignados en 2014 bajo el plan de acciones por desempeño, se consolidarán en 2016 en su nivel máximo en lo que respecta al parámetro de BPA. El precio de la acción registró un fuerte crecimiento en los dos primeros años y medio de los tres que integran el período de desempeño, aunque sufrió una importante caída tras el resultado del referéndum sobre la UE celebrado en el Reino Unido.', 'Europa ha tenido una primera mitad del año con fuerte incremento del consumo aparente, debido al incremento en la utilización por parte de los clientes finales pero también debido a la recuperación de stocks en la cadena de suministro.', 'Como consecuencia de las conclusiones que ofreció este informe, se han identificado los puntos significativos y las mejoras que deben abordarse en los próximos años.', 'Es cierto que se ha registrado una desaceleración de la actividad en la segunda parte de 2015 respecto a lo observado en el primer semestre debido a la ralentización de la demanda mundial, el agotamiento de algunos factores cíclicos y el aumento de la incertidumbre, en parte ligada al ciclo electoral español, pero las previsiones indican que se alcanzará un incremento del PIB de alrededor de un 2,7% para 2016.', 'otros movimientos que se han producido a lo largo del año han sido la reducción de las rentabilidades de la curvas de los países periféricos de la eurozona, con la excepción de Grecia, cuyas rentabilidades han aumentado sustancialmente en la última parte del año debido a la inestabilidad política.', 'El índice IBEX 35 inició el ejercicio 2017 con una cotización de 9.352 y terminó a 10.093. Lingotes comenzó a 14,20 €/acción y acabó en 17,40. Así que, el IBEX subió el 7,9% y Lingotes el 22,5%, como se puede comprobar en el anterior gráfico.', 'La fase de grupos de la temporada 2016-17 promedió un 28,0 % y 5.080.000 espectadores, con lo que mejoró en 1,1 puntos más el resultado del año anterior.', 'Portugal también respondió bien el ejercicio pasado, el primero completo con nosotros, y tuvo incrementos notables en recursos minoristas e inversión crediticia, en parte como consecuencia de la mejora de la situación macroeconómica del país.', 'Sin embargo, las previsiones de crecimiento del PIB británico que formulan los distintos organismos presentan fuertes divergencias, ya que oscilan entre el +0,8% y el +2,6% de cara a 2017.']","Es cierto que se ha registrado una desaceleración de la actividad en la segunda parte de 2015 respecto a lo observado en el primer semestre debido a la ralentización de la demanda mundial, el agotamiento de algunos factores cíclicos y el aumento de la incertidumbre, en parte ligada al ciclo electoral español, pero las previsiones indican que se alcanzará un incremento del PIB de alrededor de un 2,7% para 2016","el índice Footsie 100 mostró una subida sustancial en la segunda mitad del año, una vez conocido el resultado del referéndum donde se acordó su salida de la Unión Europea",0.0,1.0,1.0
¿Por qué se dan crecimientos generalizados por unidades?,"['Por unidades, crecimientos generalizados, ya que nueve de la diez principales unidades suben, y seis de ellas lo hacen a doble dígito.', 'Desde la fusión, sigue creciendo todos los meses respecto al mismo mes del año anterior, con lo que encadena, a cierre del Ejercicio 2014, 27 meses de crecimiento ininterrumpido.', 'Importante crecimiento de los ROF (+15,9% interanual), gracias al muy buen desempeño de la Unidad de Global Markets, fundamentalmente durante la primera parte del ejercicio.', 'En un entorno de crecimiento económico tanto a nivel nacional como global – el PIB de España repuntó un 3,1% en 2017 en tasa interanual y el de la economía mundial un 3,7%- hemos sabido avanzar de forma firme pero no podemos olvidar que las incertidumbres del entorno pueden afectar a cualquier compañía de dimensión internacional y por ello, es importante contar con una relativa diversificación de la actividad.', 'Un crecimiento que hemos alcanzado sin realizar ampliaciones de capital y gracias a una política prudente de distribución del dividendo.', 'Los ingresos de terminales registran un significativo crecimiento interanual en el cuarto trimestre (+41,0%; +3,8% en el año) debido a la mayor actividad comercial de venta de equipos de gama alta.', 'Los estímulos gubernamentales parecen estar fomentando el crecimiento por medio tanto del consumo privado, que está redundando en una mejora de la confianza de los consumidores, como de la inversión, la cual está aumentando gracias a las facilidades de acceso al crédito impulsadas por el Fondo de Garantía del Crédito (CGF, por su siglas en inglés).', 'El resultado antes de impuestos, que refleja mejor la evolución del negocio, crece un 8% gracias al aumento de volúmenes, la buena gestión de márgenes y el control de costes.', 'Si en lugar de por concepto, analizamos el margen de intereses por áreas geográficas cabe destacar: – Favorable evolución en Reino Unido (+16,5%) y EE.UU. (+11,2%) que aumentan a doble dígito gracias al esfuerzo realizado en reducir el coste de los depósitos minoristas en el primer caso y a la mayor actividad en consumo (SCUSA) en el segundo.', 'Estados Unidos, por su parte, experimentó cierta ralentización en su crecimiento, con un incremento anual del PIB del 1,6%, pero con un satisfactorio cuadro macroeconómico: prácticamente pleno empleo, inflación controlada, incremento del número de asalariados con mejoras en los salarios medios y un índice de confianza de los consumidores positivo gracias al impulso fiscal anunciado por el nuevo presidente.']","nueve de la diez principales unidades suben, y seis de ellas lo hacen a doble dígito","nueve de la diez principales unidades suben, y seis de ellas lo hacen a doble dígito",1.0,1.0,1.0
Con la revisión del estado actual de las instalaciones ¿qué se ha conseguido?,"['Además, se ha procedido a revisar el estado actual de las instalaciones obteniendo como resultado unas propuestas de mejora de ahorro y eficiencia energética.', 'No quiero extenderme mucho en esto porque la consejera delegada lo explica con detalle en este mismo informe, pero sí quiero poner énfasis en la calidad de los resultados.', 'Como consecuencia de las conclusiones que ofreció este informe, se han identificado los puntos significativos y las mejoras que deben abordarse en los próximos años.', 'Este sistema supone un importante avance en el impacto medioambiental ya que los sistemas de purificación propuestos eliminan impurezas, productos químicos e imperfecciones sin perjudicar la calidad del agua consumible por el cliente, reduciendo además espacio de almacenaje, costes económicos y tiempo por la gestión logística del producto.', 'Su reutilización no es posible pero sí su reciclaje, por lo que el 97% son reciclados por empresas especializadas.', 'Los costes se mantienen planos, dado que la mejora en la eficiencia absorbe las inversiones en el crecimiento del negocio, el coste de la reforma bancaria (que asciende a 85 millones de libras) y la mejora de los canales digitales.', 'En los últimos ejercicios el Grupo ha desarrollado e implantado las mejoras estructurales y operativas necesarias para reforzar y consolidar la visión integral de los riesgos, basada en información completa, precisa y recurrente, permitiéndole a la alta dirección valorar y decidir en consecuencia.', 'En este sentido, en la actualidad, el Internet de las cosas nos permite ofrecer a las ciudades soluciones digitales y eficientes que convergen en una plataforma integral y abierta, gracias a las cuales se pueden reducir costes, aumentar ingresos, mejorar la administración de recursos urbanos y la calidad de vida de sus habitantes.', 'Los tipos de residuos generados en cada fábrica no coinciden al 100%, por ello se han reducido a un grupo homogéneo para su comparación.', 'La metodología utilizada para la realización de la auditoría es la misma al margen de quién las realice y de la puntuación obtenida por el proveedor o la fábrica, ya que en Inditex contamos con una metodología de auditoría social propia.']",se han identificado los puntos significativos y las mejoras que deben abordarse en los próximos años,unas propuestas de mejora de ahorro y eficiencia energética,0.5,1.0,1.0
¿Qué implica el hecho de que esta nueva revolución esté creando también nuevos desafíos sociales y de sostenibilidad? ,"['Esta nueva revolución está creando también nuevos desafíos sociales y de sostenibilidad, por lo que debemos estar preparados para hacerles frente.', 'Nuestra evolución en los últimos años y nuestras fortalezas nos permiten acelerar nuestra transformación', 'Somos conscientes del impacto de nuestra actividad en la sociedad y, por ello, buscamos procesos más eficientes e innovadores, apoyándonos en las nuevas tecnologías, que nos permitan contribuir de forma positiva a lograr un entorno más sostenible.', 'La revolución digital, y sus implicaciones en términos de cambio de los procesos productivos, está llegando cada vez a un mayor número de sectores. Por ello, Dominion ofrece hoy soluciones y servicios a empresas en un amplio abanico de sectores y es previsible que este número se incremente en el futuro próximo.', 'Simultáneamente, hemos comenzado a trabajar en la cuarta edición, que supondrá una importante ampliación del alcance del programa, ya que también abarcará cuestiones adicionales de sostenibilidad ambiental.', 'El impacto de esta reforma global sobre la actividad económica es objeto de interés creciente, ya que representa un posible freno para el crecimiento económico.', 'Asimismo, tras la COP21 la preocupación de los Estados por la lucha contra el cambio climático creció considerablemente, por lo que se espera que se intensifique la presión regulatoria sobre el sector energético, entre otros.', 'A pesar de los esfuerzos, este año el consumo energético fue superior al de 2015 debido a una mayor producción.', 'Y también han de ser flexibles, porque la gestión de riesgos tiene que adaptarse rápidamente a nuevos entornos y escenarios imprevistos.', 'En vista de estas difíciles circunstancias, creo que el nuevo equipo directivo de Vueling ha hecho un fantástico trabajo. Se han enfrentado a estos retos, han sido honestos acerca de los problemas que les afectaban y no se desentendieron de los errores que se cometieron a nivel interno. El nuevo equipo ha restablecido el desempeño operativo de la aerolínea, ha potenciado la resiliencia de la red.']",debemos estar preparados para hacerles frente,debemos estar preparados para hacerles frente,1.0,1.0,1.0
¿A qué se debe que hayan participado personas con discapacidad?,"['Participando personas con discapacidad gracias a una beca David Feduchy.', 'El evento fue posible gracias a la colaboración de Atresmedia y una de las principales distribuidoras con las que trabaja, Warner Bros.', 'Con motivo de la celebración del octavo centenario de la Universidad de Salamanca, la Fundación ACS y dicha Universidad firmaron, el día 27 de octubre de 2017, un Convenio de Colaboración para la mejora de la accesibilidad en el Edificio Histórico de la Universidad (Escuelas Mayores) y en el Colegio Mayor Fonseca.', 'Personas a las que quiero hacer llegar desde aquí mi más sincero agradecimiento, pues su contribución y compromiso han sido, y son, piedra angular para la consecución de nuestros objetivos y para nuestro futuro.', 'Gracias a esta intervención, se ha atendido a cerca de 70.000 personas en consultas externas y de salud mental.', 'La apuesta por la Igualdad, diversidad y conciliación Atresmedia cuenta con un Plan de Igualdad firmado en 2014, centrado en los siguientes objetivos: Garantizar la igualdad de trato y oportunidades. Mejorar la conciliación laboral y familiar. Prevenir el acoso laboral. Proteger la maternidad Las medidas de fomento de la igualdad contempladas en el Plan se han visto acrecentadas en 2017 gracias a la firma del nuevo Convenio Colectivo.', 'Applus+ cuenta con profesionales de gran talento, comprometidos y apasionados, que han contribuido al crecimiento y a la diversificación del negocio durante muchos años y por este motivo me gustaría expresarles mi agradecimiento por la gran labor que han realizado.', 'El Grupo tiene una obligación presente (ya sea legal o implícita) como resultado de un suceso pasado.', 'Gracias a la colaboración con los diferentes departamentos, todos los empleados -e incluso las nuevas incorporaciones- participan en talleres de sensibilización ambiental.', 'También queremos que nuestros proyectos de responsabilidad social sean cada vez más cercanos a ellos y a sus familias, y por esto buscamos que en cada uno de ellos puedan participar y estar con nosotros. Pongo como ejemplos, el lanzamiento de nuestra Superliga DIA en España, la carrera en apoyo a los niños con cáncer en Sao Paulo, la ayuda a jóvenes madres en riesgo de exclusión en Portugal o la campaña de recogida de ropa de abrigo en Argentina entre otras muchas acciones.']",a una beca David Feduchy,a una beca David Feduchy,1.0,0.5,1.0
¿En qué se han traducido los compromisos adquiridos en el Plan de Recapitalization?,"['Su reutilización no es posible pero sí su reciclaje, por lo que el 97% son reciclados por empresas especializadas.', 'Esta decisión se adoptó en línea con las recomendaciones de gobierno corporativo en materia de rotación del auditor externo, a propuesta de la comisión de auditoría y como resultado de un concurso de selección desarrollado con plena transparencia.', 'La baja contable de los activos de un plan puede producirse cuando estos activos son mayores que la obligación proyectada y el Grupo no puede recuperar ningún superávit a través de reembolsos del instrumento en que está materializado el compromiso de prestación definida como consecuencia de requisitos de solvencia y/o control.', 'Debt Valuation Adjustment (DVA): ajuste a la valoración similar al CVA, pero en este caso como consecuencia del riesgo propio del Grupo que asumen sus contrapartidas en los derivados OTC.', 'También podrá proponerse la separación de consejeros independientes como consecuencia de ofertas públicas de adquisición, fusiones u otras operaciones corporativas similares que supongan un cambio en la estructura de capital de la sociedad, cuando tales cambios en la estructura del consejo de administración vengan propiciados por el criterio de proporcionalidad señalado en la recomendación 16.', 'Llevará a cabo actividades que aporten valor y ayuden a reforzar la relación personal con determinados clientes, por lo que será una oficina evolucionada que permitirá al Banco testar un nuevo modelo de atención y servicio.', 'Ofrece a los usuarios una imagen tridimensional del objeto que se inspecciona, con lo que se ofrece una visión clara acerca del alcance y naturaleza de los posibles defectos.', 'Todos los riesgos están transferidos a la compañía de seguros, ya que esta incluso asegura la garantía indicada anteriormente.', 'Además, se ha procedido a revisar el estado actual de las instalaciones obteniendo como resultado unas propuestas de mejora de ahorro y eficiencia energética.', 'En algunas ocasiones, la solución a las reclamaciones puede ser local pero, en otras, deben intervenir las direcciones centrales. Por eso, el defensor del cliente coordina fábricas, ingeniería, dirección de obras, etc... para ofrecer una respuesta integral.']",el 97% son reciclados por empresas especializadas,la actividad de la entidad en los mercados financieros se mantuvo reducida,0.0,0.5,0.0
